Local time,Open,High,Low,Close,Volume
27.11.2013 07:00:00.000 GMT+0900,164.232,164.358,164.016,164.329,17356.58
27.11.2013 11:00:00.000 GMT+0900,164.331,164.877,164.205,164.584,22648.15
27.11.2013 15:00:00.000 GMT+0900,164.586,165.733,164.535,165.665,34833.26
27.11.2013 19:00:00.000 GMT+0900,165.667,166.148,165.648,166.134,34892.7
27.11.2013 23:00:00.000 GMT+0900,166.136,166.452,165.926,166.149,38100.94
28.11.2013 03:00:00.000 GMT+0900,166.145,166.394,166.119,166.374,13031.58
28.11.2013 07:00:00.000 GMT+0900,166.374,166.57,165.964,166.459,18987.27
28.11.2013 11:00:00.000 GMT+0900,166.459,166.76,166.236,166.729,13840.54
28.11.2013 15:00:00.000 GMT+0900,166.728,167.095,166.464,166.659,29580.14
28.11.2013 19:00:00.000 GMT+0900,166.655,167.224,166.599,167.179,25254.61
28.11.2013 23:00:00.000 GMT+0900,167.184,167.313,167.0,167.062,17084.74
29.11.2013 03:00:00.000 GMT+0900,167.065,167.269,166.989,167.22,8782.85
29.11.2013 07:00:00.000 GMT+0900,167.22,167.871,167.068,167.867,20019.36
29.11.2013 11:00:00.000 GMT+0900,167.868,167.89,167.115,167.259,25226.33
29.11.2013 15:00:00.000 GMT+0900,167.264,167.414,166.85,166.905,29911.76
29.11.2013 19:00:00.000 GMT+0900,166.907,167.288,166.849,167.139,28573.44
29.11.2013 23:00:00.000 GMT+0900,167.142,167.826,166.949,167.648,34684.82
30.11.2013 03:00:00.000 GMT+0900,167.641,167.698,167.463,167.564,11659.54
30.11.2013 07:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
30.11.2013 11:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
30.11.2013 15:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
30.11.2013 19:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
30.11.2013 23:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 03:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 07:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 11:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 15:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 19:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
01.12.2013 23:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
02.12.2013 03:00:00.000 GMT+0900,167.564,167.564,167.564,167.564,0.0
02.12.2013 07:00:00.000 GMT+0900,167.776,168.525,167.711,168.114,21584.07
02.12.2013 11:00:00.000 GMT+0900,168.114,168.243,167.971,168.064,15151.68
02.12.2013 15:00:00.000 GMT+0900,168.062,168.794,168.043,168.529,33879.84
02.12.2013 19:00:00.000 GMT+0900,168.531,168.709,168.284,168.445,32859.89
02.12.2013 23:00:00.000 GMT+0900,168.441,168.717,168.168,168.549,41374.89
03.12.2013 03:00:00.000 GMT+0900,168.549,168.692,168.288,168.354,15707.01
03.12.2013 07:00:00.000 GMT+0900,168.354,168.649,168.216,168.519,15010.53
03.12.2013 11:00:00.000 GMT+0900,168.519,169.119,168.495,169.006,21029.26
03.12.2013 15:00:00.000 GMT+0900,169.006,169.135,168.519,168.61,33490.26
03.12.2013 19:00:00.000 GMT+0900,168.61,168.754,167.965,168.073,36805.84
03.12.2013 23:00:00.000 GMT+0900,168.075,168.547,167.82,167.965,41799.03
04.12.2013 03:00:00.000 GMT+0900,167.965,168.06,167.337,168.005,29497.97
